origin_location_code,origin_has_hrp,origin_in_gho,asylum_location_code,asylum_has_hrp,asylum_in_gho,population_group,gender,age_range,min_age,max_age,population,reference_period_start,reference_period_end
COD,True,True,KEN,False,True,ASY,m,18-59,18,59,5338,2020-01-01,2020-12-31
COD,True,True,KEN,False,True,ASY,m,60+,60,None,102,2020-01-01,2020-12-31
COD,True,True,KEN,False,True,ASY,m,all,None,None,8671,2020-01-01,2020-12-31
COD,True,True,KEN,False,True,ASY,all,all,None,None,15641,2020-01-01,2020-12-31
COD,True,True,KEN,False,True,REF,f,0-4,0,4,1808,2020-01-01,2020-12-31
COD,True,True,KEN,False,True,REF,f,5-11,5,11,2463,2020-01-01,2020-12-31
COD,True,True,KEN,False,True,REF,f,12-17,12,17,2108,2020-01-01,2020-12-31
COD,True,True,KEN,False,True,REF,f,18-59,18,59,7212,2020-01-01,2020-12-31
COD,True,True,KEN,False,True,REF,f,60+,60,None,274,2020-01-01,2020-12-31
COD,True,True,KEN,False,True,REF,f,all,None,None,13865,2020-01-01,2020-12-31
COD,True,True,KEN,False,True,REF,m,0-4,0,4,1867,2020-01-01,2020-12-31
COD,True,True,KEN,False,True,REF,m,5-11,5,11,2654,2020-01-01,2020-12-31
COD,True,True,KEN,False,True,REF,m,12-17,12,17,2047,2020-01-01,2020-12-31
COD,True,True,KEN,False,True,REF,m,18-59,18,59,8987,2020-01-01,2020-12-31
COD,True,True,KEN,False,True,REF,m,60+,60,None,205,2020-01-01,2020-12-31
COD,True,True,KEN,False,True,REF,m,all,None,None,15760,2020-01-01,2020-12-31
COD,True,True,KEN,False,True,REF,all,all,None,None,29625,2020-01-01,2020-12-31
COG,False,False,KEN,False,True,ASY,f,0-4,0,4,5,2020-01-01,2020-12-31
COG,False,False,KEN,False,True,ASY,f,5-11,5,11,0,2020-01-01,2020-12-31
COG,False,False,KEN,False,True,ASY,f,12-17,12,17,13,2020-01-01,2020-12-31
COG,False,False,KEN,False,True,ASY,f,18-59,18,59,13,2020-01-01,2020-12-31
COG,False,False,KEN,False,True,ASY,f,60+,60,None,0,2020-01-01,2020-12-31
COG,False,False,KEN,False,True,ASY,f,all,None,None,31,2020-01-01,2020-12-31
COG,False,False,KEN,False,True,ASY,m,0-4,0,4,0,2020-01-01,2020-12-31
COG,False,False,KEN,False,True,ASY,m,5-11,5,11,14,2020-01-01,2020-12-31
COG,False,False,KEN,False,True,ASY,m,12-17,12,17,5,2020-01-01,2020-12-31
COG,False,False,KEN,False,True,ASY,m,18-59,18,59,35,2020-01-01,2020-12-31
COG,False,False,KEN,False,True,ASY,m,60+,60,None,0,2020-01-01,2020-12-31
COG,False,False,KEN,False,True,ASY,m,all,None,None,54,2020-01-01,2020-12-31
COG,False,False,KEN,False,True,ASY,all,all,None,None,85,2020-01-01,2020-12-31
COG,False,False,KEN,False,True,REF,f,0-4,0,4,9,2020-01-01,2020-12-31
COG,False,False,KEN,False,True,REF,f,5-11,5,11,7,2020-01-01,2020-12-31
COG,False,False,KEN,False,True,REF,f,12-17,12,17,6,2020-01-01,2020-12-31
COG,False,False,KEN,False,True,REF,f,18-59,18,59,16,2020-01-01,2020-12-31
COG,False,False,KEN,False,True,REF,f,60+,60,None,0,2020-01-01,2020-12-31
COG,False,False,KEN,False,True,REF,f,all,None,None,38,2020-01-01,2020-12-31
COG,False,False,KEN,False,True,REF,m,0-4,0,4,0,2020-01-01,2020-12-31
COG,False,False,KEN,False,True,REF,m,5-11,5,11,9,2020-01-01,2020-12-31
COG,False,False,KEN,False,True,REF,m,12-17,12,17,0,2020-01-01,2020-12-31
COG,False,False,KEN,False,True,REF,m,18-59,18,59,40,2020-01-01,2020-12-31
COG,False,False,KEN,False,True,REF,m,60+,60,None,0,2020-01-01,2020-12-31
COG,False,False,KEN,False,True,REF,m,all,None,None,49,2020-01-01,2020-12-31
COG,False,False,KEN,False,True,REF,all,all,None,None,87,2020-01-01,2020-12-31
EGY,False,True,KEN,False,True,ASY,f,0-4,0,4,0,2020-01-01,2020-12-31
EGY,False,True,KEN,False,True,ASY,f,5-11,5,11,9,2020-01-01,2020-12-31
EGY,False,True,KEN,False,True,ASY,f,12-17,12,17,0,2020-01-01,2020-12-31
EGY,False,True,KEN,False,True,ASY,f,18-59,18,59,0,2020-01-01,2020-12-31
EGY,False,True,KEN,False,True,ASY,f,60+,60,None,0,2020-01-01,2020-12-31
EGY,False,True,KEN,False,True,ASY,f,all,None,None,9,2020-01-01,2020-12-31
EGY,False,True,KEN,False,True,ASY,m,0-4,0,4,0,2020-01-01,2020-12-31
EGY,False,True,KEN,False,True,ASY,m,5-11,5,11,0,2020-01-01,2020-12-31
EGY,False,True,KEN,False,True,ASY,m,12-17,12,17,0,2020-01-01,2020-12-31
EGY,False,True,KEN,False,True,ASY,m,18-59,18,59,12,2020-01-01,2020-12-31
EGY,False,True,KEN,False,True,ASY,m,60+,60,None,0,2020-01-01,2020-12-31
EGY,False,True,KEN,False,True,ASY,m,all,None,None,12,2020-01-01,2020-12-31
EGY,False,True,KEN,False,True,ASY,all,all,None,None,21,2020-01-01,2020-12-31
ERI,False,False,KEN,False,True,ASY,f,0-4,0,4,15,2020-01-01,2020-12-31
ERI,False,False,KEN,False,True,ASY,f,5-11,5,11,57,2020-01-01,2020-12-31
ERI,False,False,KEN,False,True,ASY,f,12-17,12,17,45,2020-01-01,2020-12-31
ERI,False,False,KEN,False,True,ASY,f,18-59,18,59,380,2020-01-01,2020-12-31
ERI,False,False,KEN,False,True,ASY,f,60+,60,None,7,2020-01-01,2020-12-31
ERI,False,False,KEN,False,True,ASY,f,all,None,None,504,2020-01-01,2020-12-31
ERI,False,False,KEN,False,True,ASY,m,0-4,0,4,21,2020-01-01,2020-12-31
ERI,False,False,KEN,False,True,ASY,m,5-11,5,11,71,2020-01-01,2020-12-31
ERI,False,False,KEN,False,True,ASY,m,12-17,12,17,37,2020-01-01,2020-12-31
ERI,False,False,KEN,False,True,ASY,m,18-59,18,59,361,2020-01-01,2020-12-31
ERI,False,False,KEN,False,True,ASY,m,60+,60,None,13,2020-01-01,2020-12-31
ERI,False,False,KEN,False,True,ASY,m,all,None,None,503,2020-01-01,2020-12-31
ERI,False,False,KEN,False,True,ASY,all,all,None,None,1007,2020-01-01,2020-12-31
ERI,False,False,KEN,False,True,REF,f,0-4,0,4,13,2020-01-01,2020-12-31
ERI,False,False,KEN,False,True,REF,f,5-11,5,11,38,2020-01-01,2020-12-31
ERI,False,False,KEN,False,True,REF,f,12-17,12,17,45,2020-01-01,2020-12-31
ERI,False,False,KEN,False,True,REF,f,18-59,18,59,329,2020-01-01,2020-12-31
ERI,False,False,KEN,False,True,REF,f,60+,60,None,15,2020-01-01,2020-12-31
ERI,False,False,KEN,False,True,REF,f,all,None,None,440,2020-01-01,2020-12-31
ERI,False,False,KEN,False,True,REF,m,0-4,0,4,15,2020-01-01,2020-12-31
ERI,False,False,KEN,False,True,REF,m,5-11,5,11,62,2020-01-01,2020-12-31
ERI,False,False,KEN,False,True,REF,m,12-17,12,17,29,2020-01-01,2020-12-31
ERI,False,False,KEN,False,True,REF,m,18-59,18,59,314,2020-01-01,2020-12-31
ERI,False,False,KEN,False,True,REF,m,60+,60,None,28,2020-01-01,2020-12-31
ERI,False,False,KEN,False,True,REF,m,all,None,None,448,2020-01-01,2020-12-31
ERI,False,False,KEN,False,True,REF,all,all,None,None,888,2020-01-01,2020-12-31
ETH,False,True,KEN,False,True,ASY,f,0-4,0,4,400,2020-01-01,2020-12-31
ETH,False,True,KEN,False,True,ASY,f,5-11,5,11,646,2020-01-01,2020-12-31
ETH,False,True,KEN,False,True,ASY,f,12-17,12,17,505,2020-01-01,2020-12-31
ETH,False,True,KEN,False,True,ASY,f,18-59,18,59,2408,2020-01-01,2020-12-31
ETH,False,True,KEN,False,True,ASY,f,60+,60,None,70,2020-01-01,2020-12-31
ETH,False,True,KEN,False,True,ASY,f,all,None,None,4029,2020-01-01,2020-12-31
ETH,False,True,KEN,False,True,ASY,m,0-4,0,4,440,2020-01-01,2020-12-31
ETH,False,True,KEN,False,True,ASY,m,5-11,5,11,675,2020-01-01,2020-12-31
ETH,False,True,KEN,False,True,ASY,m,12-17,12,17,510,2020-01-01,2020-12-31
ETH,False,True,KEN,False,True,ASY,m,18-59,18,59,3056,2020-01-01,2020-12-31
ETH,False,True,KEN,False,True,ASY,m,60+,60,None,52,2020-01-01,2020-12-31
ETH,False,True,KEN,False,True,ASY,m,all,None,None,4733,2020-01-01,2020-12-31
